Designator,Mid X,Mid Y,Rotation,Layer
B_SW1,166.439524,-105.08,180.0,top
C1,162.306,-112.927651,90.0,top
C2,132.207,-124.333,270.0,bottom
C3,127.762,-98.171,90.0,bottom
C4,139.7,-123.952,270.0,bottom
DIMMER1,118.83,-84.59714,0.0,top
ESP1,155.81,-101.47,180.0,top
E_TRIG1,118.83,-64.43857,0.0,top
F_SENS1,129.34,-128.47,90.0,top
HT_RL1,118.83,-58.184285,0.0,top
I2C1,118.83,-95.951425,0.0,top
JTAG1,134.361,-108.209,0.0,top
PV_RL1,118.83,-73.242855,0.0,top
P_SENS1,138.22,-128.47,90.0,top
P_SW1,166.439524,-89.23,180.0,top
Q1,122.936,-78.486,270.0,bottom
Q2,125.603,-73.279,180.0,bottom
Q3,125.6515,-58.166,180.0,bottom
Q4,128.143,-120.904,90.0,bottom
Q5,142.24,-123.825,90.0,bottom
R1,122.174,-98.679,180.0,bottom
R10,122.174,-73.279,0.0,bottom
R11,163.068,-105.029,180.0,bottom
R12,125.349,-54.864,90.0,bottom
R13,163.068,-89.281,180.0,bottom
R14,127.0,-54.864,270.0,bottom
R15,129.159,-117.348,270.0,bottom
R16,122.187,-58.166,0.0,bottom
R17,126.365,-124.333,270.0,bottom
R18,148.831,-123.571,180.0,bottom
R19,142.367,-121.031,180.0,bottom
R2,122.174,-95.885,180.0,bottom
R20,138.176,-123.952,270.0,bottom
R3,129.286,-124.346,270.0,bottom
R4,126.238,-78.867,180.0,bottom
R5,126.746,-69.99,90.0,bottom
R6,126.238,-80.391,0.0,bottom
R7,125.095,-69.977,270.0,bottom
R8,122.174,-75.819,0.0,bottom
R9,163.081,-96.012,180.0,bottom
ROTARY1,166.439524,-70.93,180.0,top
SCALE1,166.439524,-82.63,180.0,top
S_LED1,147.12,-128.47,90.0,top
S_SW1,166.439524,-95.95,180.0,top
T_SENS1,118.83,-107.30571,0.0,top
V_IN1,166.439524,-120.34,180.0,top
W_SENS1,118.83,-116.11,0.0,top
